"","HostCode","Date","SiteCode","SpeciesCode","CollectionCode","Lifestage","Dissector","DissectionCondition","GosnerStage","TarichaLarvaeStage","SVL","TailLength","TotalLength","Malformed","Sex","collDate","visit","SecYr","tot.para","BDinf","aveZE","Alaria","Cephalogonimus","Echinostoma","Gorgoderid_Metacercaria","Gyrinicola_batrachiensis","Manodistomum_syntomentera","Megalobatrachonema_moraveci","Nematode","Oxyurid","Ribeiroia_ondatrae","Nyctotherus","Opalina","Tritrichomonas"
"22","PRPND010_20170516_TATO_104",20170516,"PRPND010","TATO","PRPND010_20170516","Larva","TR","Dead on Arrival",NA,"4T",7.56,6.57,14.13,"N","Unknown","2017-05-16",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"23","PRPND014_20170327_PSRE_101",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",27,"",7.64,14,21.64,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","PRPND014_20170327_PSRE_112",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",7.87,5.56,13.43,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","PRPND014_20170327_PSRE_003",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",7.9,7.3,15.2,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","PRNTHOWL_20170513_PSRE_008",20170513,"PRNTHOWL","PSRE","PRNTHOWL_20170513","Larva","TR","Freshly Euthanized",28,"",7.94,15.59,23.53,"N","Female","2017-05-13",2,NA,0,0,2.732139227,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","PRPND014_20170327_PSRE_111",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",7.94,13.31,21.25,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"28","PRPND009_20170327_PSRE_008",20170327,"PRPND009","PSRE","PRPND009_20170327","Larva","DC","Freshly Euthanized",26,"",8.06,13.71,21.77,"N","Unknown","2017-03-27",1,NA,1,1,11.33403112,0,0,0,0,0,0,0,0,0,0,1,0,0
"29","PRPND015_20170328_PSRE_014",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",8.13,9.36,17.49,"N","Unknown","2017-03-28",1,NA,1,1,10.64338455,0,0,0,0,0,0,0,0,0,0,1,0,0
"30","PRPND010_20170327_PSRE_007",NA,"PRPND010","PSRE","PRPND010_20170327","Larva","DC","Dead on Arrival",26,"",8.15,6.82,14.97,"N","Unknown","2017-03-27",1,NA,1,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0
"31","PRPND010_20170327_PSRE_008",20170327,"PRPND010","PSRE","PRPND010_20170327","Larva","DC","Dead on Arrival",26,"",8.32,7.84,16.16,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"32","PRPND009_20170327_PSRE_106",20170327,"PRPND009","PSRE","PRPND009_20170327","Larva","DC","Freshly Euthanized",27,"",8.34,12.22,20.56,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"33","PRPND015_20170328_TATO_002",20170328,"PRPND015","TATO","PRPND015_20170328","Larva","DC","Freshly Euthanized",NA,"",8.45,7.75,16.2,"N","Unknown","2017-03-28",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","PRPND014_20170327_PSRE_002",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",27,"",8.55,8.42,16.97,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","PRPND015_20170328_PSRE_004",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",8.56,12.65,21.21,"N","Unknown","2017-03-28",1,NA,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"36","PRPND010_20170516_TATO_105",20170516,"PRPND010","TATO","PRPND010_20170516","Larva","TR","Dead on Arrival",NA,"4T",8.59,5.86,14.45,"N","Unknown","2017-05-16",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
"37","PRNTH1_20170629_PSRE_104",20170629,"PRNTH1","PSRE","PRNTH1_20170629","Larva","CM","Freshly Euthanized",31,"",8.63,11.61,20.24,"N","Unknown","2017-06-29",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","PRNTHIDK_20170607_PSRE_010",20170607,"PRNTHIDK","PSRE","PRNTHIDK_20170607","Larva","KL","Freshly Euthanized",27,"",8.67,13.07,21.74,"N","Unknown","2017-06-07",3,NA,4,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0
"39","PRNTHMIT_20170607_PSRE_101",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Dead on Arrival (Decomposed)",28,"",8.79,11.11,19.9,"N","Unknown","2017-06-07",3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","PRPND014_20170327_PSRE_007",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Freshly Euthanized",26,"",8.81,14.44,23.25,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"41","PRNTHMIT_20170607_PSRE_106",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Freshly Euthanized",31,"",8.83,11.88,20.71,"N","Unknown","2017-06-07",3,NA,3,1,31.51543873,0,0,2,0,0,0,0,0,0,0,0,1,1
"42","PRPND010_20170327_PSRE_101",20170327,"PRPND010","PSRE","PRPND010_20170327","Larva","DC","Freshly Euthanized",26,"",8.85,6.86,15.71,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"43","PRPND009_20170327_PSRE_007",20170327,"PRPND009","PSRE","PRPND009_20170327","Larva","DC","Dead on Arrival",27,"",8.91,8.37,17.28,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"44","PRPND009_20170516_PSRE_006",20170516,"PRPND009","PSRE","PRPND009_20170516","Larva","CM","Dead on Arrival",35,"",8.94,12.13,21.07,"N","Unknown","2017-05-16",2,NA,2,1,4.030948014,0,0,7,0,0,0,0,0,0,49,0,0,0
"45","PRPND014_20170327_PSRE_008",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",8.94,12.05,20.99,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
